Date,StartTime,DayOfWeek,GoingTo,Distance,MaxSpeed,AvgSpeed,AvgMovingSpeed,FuelEconomy,TotalTime,MovingTime,Toll,Comments
1/6/2012,16:37,Friday,home,51.29,127.4,78.3,84.8,,39.3,36.3,No,
1/6/2012,8:20,Friday,work,51.63,130.3,81.8,88.9,,37.9,34.9,No,
1/4/2012,16:17,Wednesday,home,51.27,1207.4,82,,,,35.9,No,
1/4/2012,7:53,Wednesday,work,49.17,132.3,74.2,82.9,,39.8,35.6,,
1/3/2012,18:57,Tuesday,home,51.15,136.2,83.4,88.1,,36.8,34.8,,
1/3/2012,7:57,Tuesday,work,51.8,135.8,84.5,,,,35,No,
1/2/2012,17:31,Monday,home,51.37,123.2,82.9,87.3,,37.2,35.3,No,
1/2/2012,7:34,Monday,work,49.01,128.3,77.5,,,37.9,34.3,No,
12/23/2011,8:01,Friday,work,52.91,130.3,80.9,88.3,8.89,,36,No,
12/22/2011,17:19,Thursday,home,51.17,122.3,70.6,78.1,8.89,43.5,39.3,No,
12/22/2011,8:16,Thursday,work,49.15,129.4,74,,8.89,,36.2,No,
12/21/2011,7:45,Wednesday,work,51.77,124.8,71.7,78.9,8.89,43.3,39.4,,
12/20/2011,16:05,Tuesday,home,51.45,130.1,75.2,,8.89,41.1,37.3,,
12/20/2011,6:04,Tuesday,work,49.01,119,77.4,82,8.89,38,35.9,,
12/19/2011,16:18,Monday,home,51.04,132.2,77.5,83.5,8.89,39.5,36.7,,
12/19/2011,7:34,Monday,work,52,137.8,76.5,87.8,8.89,40.8,35.5,No,Put snow tires on
12/16/2011,12:22,Friday,home,51.05,1205,86.9,90.6,9.08,35.2,33.8,No,
12/16/2011,7:21,Friday,work,49.04,124.6,71.1,,9.08,41.4,36.7,No,
12/15/2011,16:14,Thursday,home,51.06,126.9,80.5,84.9,9.08,,36.1,No,
12/15/2011,7:19,Thursday,work,51.68,123.5,68.1,75.8,9.08,,40.9,No,
12/14/2011,16:20,Wednesday,home,51.04,123.4,75.1,79.4,9.08,,38.6,No,
12/14/2011,7:23,Wednesday,work,51.67,123.5,76.6,82.7,9.08,40.5,37.5,No,
12/13/2011,17:43,Tuesday,home,51.15,130.6,74.8,,9.08,41,37.2,No,
12/13/2011,7:25,Tuesday,work,49.19,126.1,65.4,74.2,9.08,45.1,39.8,No,
12/12/2011,7:20,Monday,work,49.02,126.1,65.7,74,9.76,44.8,39.7,No,
12/9/2011,12:04,Friday,home,51.14,126.8,87.3,90.2,9.76,35.2,34,,
12/9/2011,7:22,Friday,work,51.69,128.4,74,77.3,9.76,41.9,40.1,,
12/8/2011,17:41,Thursday,home,51.07,125,74.6,81.5,9.76,41.1,37.6,,
12/8/2011,7:14,Thursday,work,51.63,134.4,76.5,84.3,9.76,40.5,36.7,No,
12/7/2011,16:12,Wednesday,home,51.1,126.5,79.9,85.6,9.76,38.4,35.8,No,
12/7/2011,7:18,Wednesday,work,51.64,124.6,73.6,82,9.76,42.1,37.8,No,
12/6/2011,17:24,Tuesday,home,51.25,123.5,77.3,81.9,9.16,39.8,37.6,No,
12/6/2011,7:24,Tuesday,work,51.64,122.3,69.3,74.7,9.16,44.7,41.5,No,
12/5/2011,16:18,Monday,home,50.18,124,71,,9.16,42.4,37.9,No,
12/1/2011,16:15,Thursday,home,51.55,129.6,74.2,83.7,,41.7,36.9,,
12/1/2011,7:24,Thursday,work,51.38,124.6,80.1,84.4,,38.5,36.5,No,
11/30/2011,16:11,Wednesday,home,51.09,128.7,71.5,76.7,,42.9,39.9,No,
11/30/2011,7:19,Wednesday,work,51.71,125.6,76.3,81.8,,40.7,37.9,No,
11/29/2011,16:52,Tuesday,home,51,121.4,68.4,75.4,,44.7,40.6,No,
11/29/2011,7:23,Tuesday,work,51.74,112.2,55.3,61,,56.2,50.9,No,Heavy rain
11/28/2011,16:16,Monday,home,51.05,128.2,72.4,78.8,,42.3,38.9,No,
11/28/2011,7:26,Monday,work,51.63,127.1,71,75.5,,43.6,41.1,No,
11/24/2011,16:15,Thursday,home,51.49,126.6,74,82.8,9.3,41.8,37.3,,
11/24/2011,7:23,Thursday,work,51.69,124.9,73.3,,9.3,42.3,38.6,No,
11/23/2011,16:17,Wednesday,home,60.32,129.4,68.9,74.6,9.3,52.5,48.5,No,
11/23/2011,7:22,Wednesday,work,51.6,126.4,67.3,73.6,9.3,46,42.1,No,
11/22/2011,16:15,Tuesday,home,51.49,129.6,78.6,83.8,9.3,39.3,36.9,No,
11/22/2011,7:27,Tuesday,work,51.65,128.6,76.1,82.6,9.3,40.7,37.5,No,
11/21/2011,16:50,Monday,home,51.31,123.1,60.9,67.2,10.05,50.6,45.8,No,
11/21/2011,7:24,Monday,work,52.25,127.3,38.1,50.3,10.05,82.3,62.4,No,Huge traffic backup
11/17/2011,16:16,Thursday,home,51.16,127.6,72.4,77.4,10.05,42.4,39.6,No,Pumped tires up: check fuel economy improved?
11/17/2011,7:42,Thursday,work,51.67,127,70.9,77.7,10.05,43.7,39.9,No,
11/16/2011,16:13,Wednesday,home,51.12,125.1,65,73.1,9.53,47.2,41.9,No,Backed up at Bronte
11/16/2011,7:26,Wednesday,work,51.7,129.8,73.4,80.4,9.53,42.3,38.6,No,
11/15/2011,17:36,Tuesday,home,51.06,122.8,61.4,70.9,9.53,49.9,43.2,,Backed up at Bronte
11/15/2011,7:21,Tuesday,work,51.5,127.6,70.5,77.7,9.53,43.8,39.8,No,
11/14/2011,16:15,Monday,home,51.06,119.5,64.4,70.2,9.53,47.6,43.6,No,
11/14/2011,7:19,Monday,work,51.66,126.4,55.2,59.1,9.53,56.1,52.5,No,
11/10/2011,16:11,Thursday,home,51.07,129.8,75.2,82.6,9.53,40.8,37.1,No,
11/10/2011,7:25,Thursday,work,51.68,132.5,69.8,74.7,9.53,44.4,41.5,No,
11/9/2011,16:15,Wednesday,home,51.28,121.4,65.9,71.8,9.35,46.7,42.1,No,Rainy
11/9/2011,7:25,Wednesday,work,51.79,127.5,65.6,72.4,9.35,47.3,42.9,No,
11/8/2011,17:24,Tuesday,home,50.75,131.3,89.5,93.5,9.35,34.3,32.6,Yes,
11/8/2011,7:25,Tuesday,work,51.82,126.8,66.1,73.9,9.35,47,42.1,No,
11/7/2011,16:05,Monday,home,51.06,127.4,80.4,85.2,9.35,38.1,36,No,
11/7/2011,7:19,Monday,work,51.62,125.4,74.9,82.9,9.35,41.4,37.4,No,
11/4/2011,12:12,Friday,home,51.03,128.4,82.2,89.7,9.35,37.2,34.1,No,
11/4/2011,8:16,Friday,work,51.81,130.2,82.1,85,9.35,37.9,36.6,No,
11/3/2011,17:00,Thursday,home,51.07,130.3,75.8,81.7,8.32,40.4,37.5,,
11/3/2011,7:46,Thursday,work,51.83,133,80.6,85.4,8.32,38.6,36.4,No,
11/2/2011,16:45,Wednesday,home,51.27,121.5,75.1,79.1,8.32,41,38.9,No,
11/2/2011,7:51,Wednesday,work,51.83,129.3,72.5,78.1,8.32,42.9,39.8,No,
11/1/2011,8:13,Tuesday,work,51.74,129.7,71.8,79.4,8.32,43.2,39.1,No,
10/31/2011,15:49,Monday,home,51.06,125,76.4,85.7,8.32,,35.7,No,
10/31/2011,6:21,Monday,work,50.58,125,104.4,106.2,8.32,29.1,28.6,Yes,
10/28/2011,12:14,Friday,home,51.28,120.5,83,89.5,8.32,37.1,34.4,No,
10/27/2011,8:20,Thursday,work,51.77,125.6,82.4,89.5,8.97,37.7,34.7,No,
10/26/2011,8:20,Wednesday,work,51.75,127.9,74.6,81.7,8.97,41.6,38,No,
10/25/2011,17:24,Tuesday,home,52.87,123.5,65.1,72.4,8.97,48.7,43.8,No,"Rain, rain, rain"
10/25/2011,8:13,Tuesday,work,51.75,127.4,72.1,82,8.97,43.1,37.8,No,
10/24/2011,17:29,Monday,home,51.06,126.5,71.6,78.6,8.97,42.8,39,No,
10/21/2011,8:31,Friday,work,50.64,129,106.6,112.1,8.97,28.5,27.1,Yes,
10/20/2011,17:37,Thursday,home,51.33,125.2,72.5,79.6,8.75,42.5,38.7,No,
10/20/2011,8:22,Thursday,work,51.74,124.5,68.9,79.2,8.75,45,39.2,,
10/19/2011,17:39,Wednesday,home,51.3,126.2,63.4,73.3,8.75,48.6,42,,
10/19/2011,8:24,Wednesday,work,51.68,130.2,75.7,81.6,8.75,41,38,No,
10/18/2011,17:28,Tuesday,home,51.36,133.1,69.5,79.1,8.75,44.4,38.9,No,
10/18/2011,8:14,Tuesday,work,51.74,130.8,80.8,85.2,8.75,38.4,36.5,No,
10/17/2011,16:58,Monday,home,51.3,127.3,78.6,82.9,8.75,,37.1,No,
10/17/2011,8:22,Monday,work,50.61,137.1,93.7,100.3,8.75,,30.3,,
10/13/2011,8:36,Thursday,work,50.66,128.3,105.5,111.3,8.75,28.8,27.3,Yes,
10/12/2011,17:47,Wednesday,home,51.4,114.4,59.7,65.8,8.75,51.7,46.9,No,"Rain, rain, rain"
10/12/2011,8:28,Wednesday,work,50.58,128.4,59.5,67.3,8.75,51,45.1,Yes,Accident: backup from Hamilton to 407 ramp
10/11/2011,17:17,Tuesday,home,51.52,135.1,67.3,78.4,7.81,46,39.5,No,
10/11/2011,8:25,Tuesday,work,48.94,130.8,85.7,93.2,7.81,34.3,31.5,Yes,
10/7/2011,12:15,Friday,home,51.02,124.8,80.4,88.9,7.97,38.1,34.4,Yes,
10/7/2011,8:23,Friday,work,50.68,128.3,101.9,107.2,7.97,29.9,28.4,Yes,
10/6/2011,17:58,Thursday,home,51.29,126,73.3,76.3,7.97,42,40.3,No,
10/6/2011,8:22,Thursday,work,50.63,125.6,38.5,103.8,7.97,30.8,29.3,Yes,
10/5/2011,17:10,Wednesday,home,51.31,127.5,69.5,75.5,7.97,44.3,40.8,No,
10/5/2011,8:36,Wednesday,work,50.59,1328.5,103.4,108,7.97,29.4,28.1,Yes,
10/4/2011,17:39,Tuesday,home,51.15,128.8,76,85.2,7.97,40.4,36,No,
10/4/2011,7:42,Tuesday,work,50.67,127.3,94.9,97.9,7.97,32,31.1,Yes,
10/3/2011,17:31,Monday,home,51.22,126.7,81.2,86.4,7.97,37.8,35.6,No,
10/3/2011,7:41,Monday,work,50.65,127.4,91.1,95.2,7.97,33.4,31.9,Yes,
9/29/2011,17:17,Thursday,home,51.39,128.4,65.3,71.9,8.93,47.2,42.9,No,
9/29/2011,8:22,Thursday,work,50.65,122.8,83.5,86.9,8.93,36.4,35,Yes,
9/28/2011,17:53,Wednesday,home,51.23,124.9,79.2,81.5,8.93,38.8,37.7,No,
9/28/2011,7:57,Wednesday,work,50.65,128.8,102.2,105.7,8.93,29.7,28.7,Yes,
9/27/2011,17:26,Tuesday,home,51.11,130.1,69.8,75.6,8.31,44,40.6,No,
9/27/2011,7:36,Tuesday,work,50.65,128.1,86.3,88.6,8.31,35.2,34.3,Yes,Raining
9/26/2011,17:37,Monday,home,50.69,132.3,97.2,103.6,8.31,31.3,29.3,Yes,
9/26/2011,8:02,Monday,work,50.65,129.4,88.2,91.3,8.31,34.4,33.3,Yes,
9/22/2011,17:27,Thursday,home,51.11,124.8,74.3,79.6,8.31,41.3,38.5,No,
9/22/2011,7:37,Thursday,work,50.67,130,97.6,101.6,8.31,31.1,29.9,Yes,
9/21/2011,18:05,Wednesday,home,51.74,133.3,82.9,89.2,8.33,37.4,34.8,Yes,
9/21/2011,8:02,Wednesday,work,49.16,128.7,59.5,68,8.33,49.6,43.4,No,
9/20/2011,17:20,Tuesday,home,51.23,127.2,71.7,76.9,8.33,42.9,40,No,
9/20/2011,8:10,Tuesday,work,51.69,128.7,70.4,70.1,8.33,44.1,39.7,,
9/19/2011,16:43,Monday,home,51.3,123.9,69.6,75.2,8.33,44.2,40.9,No,
9/19/2011,6:34,Monday,work,49.09,123.7,69.4,79.1,8.33,42.4,37.3,No,
9/15/2011,17:50,Thursday,home,51.13,127.5,69,75.9,8.33,,40.4,No,
9/15/2011,8:08,Thursday,work,50.67,129.3,99,103.3,8.33,30.7,29.4,Yes,
9/14/2011,17:36,Wednesday,home,51.77,127,71.1,79.6,8.33,,39,No,
9/14/2011,8:11,Wednesday,work,50.54,126.8,98.7,103.7,8.33,30.7,29.3,Yes,
9/13/2011,17:22,Tuesday,home,51.58,134.3,70,80,8.5,44.2,38.7,No,
9/13/2011,7:51,Tuesday,work,49.12,129.1,52.7,63.2,8.5,55.9,46.6,No,
9/12/2011,17:04,Monday,home,51.43,131.1,75.1,79.5,8.5,40.6,38.8,No,
9/12/2011,8:05,Monday,work,49.12,127.5,65.7,73.1,8.5,,40.3,,
9/8/2011,16:37,Thursday,home,50.92,137,66.9,77.7,8.5,45.6,39.3,No,
9/8/2011,7:23,Thursday,work,49.25,124.7,53.5,63.1,8.5,55.2,46.9,No,
9/7/2011,17:24,Wednesday,home,51.34,132.8,71.5,76.6,8.5,43.1,40.2,No,
9/7/2011,7:57,Wednesday,work,49.08,125.1,56.5,66.5,8.5,52.1,44.3,No,Back to school traffic?
9/6/2011,16:27,Tuesday,home,52.88,131.6,95.4,98.3,8.5,33.3,32.3,Yes,Took 407 all the way (to McMaster)
9/6/2011,7:50,Tuesday,work,54.36,132.5,95.1,98,8.5,34.3,33.3,,
9/2/2011,17:07,Friday,home,51.17,129.7,77.7,87.9,8.5,39.5,34.9,No,
9/2/2011,7:39,Friday,work,51.65,132.7,82.6,91.4,8.5,37.5,33.9,No,
9/1/2011,17:33,Thursday,home,52.42,128.9,81.6,88,8.5,38.5,35.7,No,
9/1/2011,8:08,Thursday,work,49.13,126.8,67.3,73.9,8.5,43.8,39.9,,
8/31/2011,17:14,Wednesday,home,51.15,140.9,71.5,79.5,8.5,42.9,38.6,No,
8/31/2011,8:09,Wednesday,work,49.07,127.7,65.9,77.3,8.5,44.7,38.1,No,
8/30/2011,17:38,Tuesday,home,51.66,-138,67.1,73.2,8.5,,42.4,No,
8/30/2011,7:57,Tuesday,work,49.04,133.5,69.1,77.8,8.5,,37.8,No,
8/29/2011,17:11,Monday,home,51.04,131,75.5,84.1,8.5,,36.4,No,
8/29/2011,7:48,Monday,work,49.15,124,63.9,74,8.5,46.1,39.9,No,
8/26/2011,16:29,Friday,home,50.88,132.7,81.1,86.9,8.54,,35.2,No,
8/26/2011,7:49,Friday,work,49.01,129.1,76.3,83.3,8.54,38.6,35.3,,
8/25/2011,17:39,Thursday,home,51.23,132.8,64.2,70.6,8.54,47.9,43.5,No,
8/25/2011,9:09,Thursday,work,50.45,133.5,106.8,111.1,8.54,28.3,27.3,Yes,
8/24/2011,16:47,Wednesday,home,51.01,132.9,79.6,86.1,8.54,38.5,38.5,No,
8/24/2011,7:59,Wednesday,work,49.07,127.1,58.5,71.5,8.54,50.3,41.1,No,Heavy volume on Derry
8/23/2011,17:23,Tuesday,home,51.22,129.7,79.7,84.5,8.54,38.5,36.4,No,
8/23/2011,7:54,Tuesday,work,49.2,124.5,71,76.7,8.54,41.6,38.5,No,
8/22/2011,16:44,Monday,home,51.12,126.8,77.9,85.2,8.54,39.6,36,No,
8/22/2011,7:49,Monday,work,49.18,123.8,65.6,73.3,8.54,45,40.2,No,
8/19/2011,17:42,Friday,home,51.09,126.5,78.1,81.6,8.37,39.3,37.6,,
8/19/2011,7:05,Friday,work,49.18,123,72,81.4,8.37,,36.3,No,Start early to run a batch
8/18/2011,17:05,Thursday,home,50.97,129.6,66.6,76.2,8.37,45.9,40.2,No,
8/18/2011,8:11,Thursday,work,52.26,137.7,51.2,64.1,8.37,61.2,48.9,,Accident at 403/highway 6; detour along Dundas
8/17/2011,17:17,Wednesday,home,51.11,129.8,68.9,75.7,8.37,44.5,40.5,No,
8/17/2011,8:10,Wednesday,work,49.1,124.8,67.9,76.2,8.37,,38.7,No,
8/16/2011,17:27,Tuesday,home,51.14,133.4,82.4,,8.37,37.2,35.3,No,
8/16/2011,8:15,Tuesday,work,49.14,131.7,75,80.2,8.37,39.3,36.7,No,
8/15/2011,17:38,Monday,home,51.11,-32.5,78,83.7,8.37,39.3,36.7,,
8/15/2011,8:15,Monday,work,49.2,124.7,71.3,75.7,8.37,41.4,39,No,
8/12/2011,17:25,Friday,home,55.57,127.7,69.6,77.1,8.54,47.9,43.2,,Detour taken
8/12/2011,8:05,Friday,work,49.02,128.4,76.7,82.9,8.54,38.4,35.5,No,Must be Friday
8/11/2011,17:25,Thursday,home,51.18,133.6,80.7,86,8.54,38,35.7,,
8/11/2011,8:13,Thursday,work,48.99,125.5,68.3,79.5,8.54,43,37,,
8/10/2011,17:14,Wednesday,home,51.03,127.4,73.5,79.3,8.54,41.7,38.6,No,
8/10/2011,8:13,Wednesday,work,48.98,124.8,72.8,78.8,8.54,,37.3,No,
8/9/2011,17:13,Tuesday,home,51.15,127.1,72.1,82.3,8.54,42.5,37.3,No,
8/9/2011,8:15,Tuesday,work,49.08,134.8,60.5,67.2,8.54,48.7,43.8,No,Medium amount of rain
8/8/2011,17:05,Monday,home,52.35,1207.5,76.9,84.2,8.54,,37.3,No,
8/8/2011,8:07,Monday,work,49.25,126.3,68.5,78.2,8.54,43.1,37.8,No,New tires
8/5/2011,17:00,Friday,home,51.94,126.7,74.5,82.6,8.48,41.9,37.7,No,
8/5/2011,8:20,Friday,work,49.13,123.9,74.1,79.9,8.48,39.8,36.9,No,
8/4/2011,17:38,Thursday,home,50.96,131.9,70.3,78.5,8.48,43.5,38.9,No,
8/4/2011,8:17,Thursday,work,49.12,122.4,71.5,77.3,8.48,41.2,38.2,No,
8/3/2011,17:14,Wednesday,home,51.64,125,72.2,78.7,8.48,42.9,39.4,No,
8/3/2011,8:06,Wednesday,work,49.06,121.9,71.5,78.7,8.48,,37.4,No,
8/2/2011,17:22,Tuesday,home,51.16,124.2,76.3,83.2,8.48,,36.9,No,
8/2/2011,7:38,Tuesday,work,53.48,124.9,68.8,78.8,8.48,46.7,40.7,No,Turn around on Derry
7/29/2011,20:31,Friday,home,50.68,135.6,107.7,110.4,8.45,28.2,27.6,Yes,
7/29/2011,8:22,Friday,work,49.07,121.1,73.2,,8.45,,37.9,No,Empty roads
7/28/2011,17:46,Thursday,home,51.09,128.5,76,84.8,8.45,40.3,36.2,,
7/28/2011,8:11,Thursday,work,49.11,120.1,69.1,,8.45,,40.3,,
7/27/2011,17:24,Wednesday,home,50.98,124.9,68.3,,8.45,44.8,42.6,,Police slowdown on 403
7/27/2011,8:15,Wednesday,work,48.82,124.5,70.4,77.8,8.45,41.6,37.6,,
7/26/2011,17:15,Tuesday,home,51.28,122.1,43.7,51.5,8.45,70.5,59.8,No,Accident blocked 407 exit
7/26/2011,8:11,Tuesday,work,49.16,122.6,71.9,76.8,8.45,41,38.4,No,
7/25/2011,16:59,Monday,home,51.05,126.6,70.4,78.8,8.45,51.1,38.9,No,
7/25/2011,8:06,Monday,work,48.32,121.2,63.4,78.4,8.45,,37,No,
7/22/2011,16:47,Friday,home,51.24,126.3,75.8,81.8,8.28,40.6,37.6,No,
7/22/2011,8:28,Friday,work,51.05,123.3,88.9,96.7,8.28,34.5,31.7,Yes,
7/21/2011,7:59,Thursday,work,48.35,129.3,81.5,,8.28,35.6,32.6,Yes,
7/20/2011,17:17,Wednesday,home,53.47,124,58.6,71,7.89,54.8,45.2,No,
7/20/2011,8:24,Wednesday,work,48.5,125.8,75.7,87.3,7.89,,33.3,Yes,
7/19/2011,17:17,Tuesday,home,51.16,1263.7,92.2,102.6,7.89,,29.9,Yes,
7/19/2011,8:11,Tuesday,work,50.96,124.3,82.3,96.4,7.89,37.2,31.7,Yes,
7/18/2011,8:09,Monday,work,54.52,125.6,49.9,82.4,7.89,65.5,39.7,No,
7/14/2011,8:03,Thursday,work,50.9,3123.7,76.2,,7.89,40.1,32.1,Yes,
7/13/2011,17:08,Wednesday,home,51.96,132.6,57.5,76.7,,54.2,40.6,Yes,
7/12/2011,17:51,Tuesday,home,53.28,125.8,61.6,,,51.9,36.5,Yes,
7/11/2011,16:56,Monday,home,51.73,-120,62.8,,,,33.6,Yes,
